"","EXP6021","XTEXVA01ILM667S","XTIMVA01ILM667S","XTEXVA01KRM657S","XTIMVA01KRM657S","KORXTIMVA01NCMLM","IMPKR"
"2001-05",-0.206151288445553,-0.0406784435539875,-0.165741548780102,0.0674811419896138,-0.0131055845262395,116100098965.301,-363.7
"2001-06",0.0968586387434556,0.00232496681510774,-0.0390941039433669,-0.0342553766670827,0.0266610150658912,437991482752.4,-636.7
"2001-07",-0.428639618138425,-0.0188573975755245,0.0238988303031458,-0.0631896815903824,-0.0267403390205142,-767104974416.602,-649.9
"2001-08",0.628237259816209,0.0105506605258421,0.0406884751101815,0.0383993576113967,0.0108393407406971,-440714525804.4,-868.6
"2001-09",-0.442278091328887,0.01406973880305,-0.0284593026423001,0.0339357892922984,0.0510056167563199,316751063950,-844.9
"2001-10",-0.3081876724931,-0.0718692263198815,-0.13382087529175,-0.0841894133834451,-0.069074421499027,-915093266523.199,-731.4
"2001-11",0.159574468085107,-0.00345747942005914,0.132466307724534,0.0188473435715296,0.00347361907320152,-1570089215240.9,-730.4
"2001-12",-0.668577981651377,0.0573342083987021,0.0156272306538714,-0.0335092447046861,-0.0124715879309307,-1462140616669.4,-699
"2002-01",-4.13494809688583,0.0378787152266875,0.0251486772655254,0.0924697127648775,0.024056390751649,-900548902922.801,-758.8
"2002-02",-1.05849889624724,-0.0850695613966969,-0.0372962796998446,-0.0261975151267396,-0.00648118977808271,-2111322815055,-271.7
"2002-03",-12.0754716981133,0.0245408325115708,-0.0905634866292443,0.0644715656684609,0.043233513332555,-848001022018.199,-185.3
"2002-04",0.340715502555366,0.0683217575111863,0.106060111853316,0.0147056861955581,0.0346556064245694,1656417334138.1,196.5
"2002-05",3.09783989834816,-0.0280706493410169,0.0595835068109998,0.059411849348181,0.0207104065928744,1049095057691.3,317.6
"2002-06",-0.337674418604651,0.013924043141863,0.0826064634722725,-0.0845648475507867,0.00202891574033725,-575382281615.1,-112.6
"2002-07",1.4564606741573,0.0271665472155824,-0.0972139804928259,0.0783836115441232,0.0264085582852298,960477213608.301,87.0999999999999
"2002-08",-0.740423098913665,-0.0469452657747057,-0.0363683034746977,0.0666808324918505,0.0232810215976937,849184005358.301,128.7
"2002-09",-0.0367107195301036,0.0186073006706646,0.037754267428088,-0.0410973404865054,0.0217178763024531,555114776931.4,286
"2002-10",0.54344512195122,0.0822177881666086,0.0467851808817499,0.0309777678093253,-0.00178192329285969,2129281896868.6,-112.3
"2002-11",-0.477530864197531,-0.109809354346665,-0.0356368688442238,0.0139932669281887,0.0363058203866958,2175906423713.6,400.1
"2002-12",1.79017013232514,0.0359203850616545,0.115444184111112,-0.0192940543288302,0.0104874213059534,2917975683937,414.9
"2003-01",-1.37391988482385,0.0364955310250208,-0.15812468202582,0.0778375482805905,0.0456679045249755,2157205640829.6,105.387093
"2003-02",-1.92290013285783,0.0826866616378821,-0.00459422561668532,-0.0540440467066526,0.0172951275463074,2693480002840,104.098611
"2003-03",-1.55696432395952,-0.0602817018566542,0.139029561746688,0.0242546797191844,0.0300032423518086,3784885619073.8,-43.3683689999998
"2003-04",0.0890061929675163,-0.0476170222416969,-0.0869543623049346,0.0371577735160781,-0.0607560528214478,1479142673300.1,321.524151
"2003-05",1.53436213822268,0.0212979089653482,-0.00632313993425626,-0.065783392155128,-0.0422670021951331,201130239594.801,-324.392745
"2003-06",-2.12135230876756,0.0465335220037302,0.124186192950273,0.0562483367567987,-0.0047256561091437,1438506065002.1,322.276913
"2003-07",-1.15044525514611,0.0495193170042467,-0.0425881308418379,0.0252918965735131,0.0451997686520284,2159114487800.5,310.129401
"2003-08",-5.03888935175025,-0.034247678891366,-0.0351036319098674,0.033020852959516,-0.00401201835970858,567419544444.6,-106.444665
"2003-09",0.329407822649227,7.01031315333278e-05,0.141660208807788,0.0489808685967341,0.0330621616423922,1214113480951.3,-45.465467
"2003-10",-0.690774465041108,0.0662270291288252,-0.0852835894963679,0.0638037363772873,0.0682058570313962,2180283337696.6,627.749386
"2003-11",0.0306270244287261,-0.0550627491533531,0.0358599092588201,-0.0216356177491416,0.0133375448338022,1722121236850,-13.5493590000001
"2003-12",-5.43435432149027,0.0551662717317905,0.0425134796996496,0.0601753453771401,0.0503166875260824,3537121216024.1,399.759205
"2004-01",-1.9584207796151,0.0554474414395048,-0.007613113517704,0.0908247621463993,0.00384487980530819,2103100254600.3,503.764241
"2004-02",-0.746937239358928,0.11313028869004,0.093382982018797,0.0275238871567009,0.106336430042096,3847150357945,442.529388
"2004-03",3.02409525653394,-0.102722042550311,-0.0349225847121979,-0.0359843777464112,-0.0321181199819486,2630502655873.1,845.183211
"2004-04",-0.120783904368143,0.0454537486154951,-0.0533305341286876,0.0421238770457367,0.0251005314348733,3655304741172.8,309.659399
"2004-05",-0.0200950128262322,0.0308464010089387,0.171094687267969,-0.0181117409695049,-0.010690518282248,4811452644797.1,1288.688934
"2004-06",-2.27803588754355,0.0387033245333099,-0.112816631112154,0.0119438240307642,0.0128000087146289,5455144061812.9,1019.675041
"2004-07",-0.372056630896857,-0.0939905657878435,-0.0469695915008675,0.0209566815033681,-0.0129170520322427,3696149704267.5,587.777387
"2004-08",-1.46960604877747,0.126059958855526,0.199326277267727,-0.0336030162627752,0.015455500256147,5024569290293.9,1026.950567
"2004-09",-0.870959102892533,-0.0525111817381571,-0.0333297873307339,0.00557349272210249,-0.000333378283663095,3946244136676.4,1370.048632
"2004-10",9.38283506502184,0.0677782976899788,0.117035377251422,0.059602363633603,0.0856683888499882,3993988747422.6,421.3664
"2004-11",0.864009103077168,-0.0639565222150561,-0.136778113478199,-0.00141515419988754,-0.0136334640626135,3413186293886.3,920.199707
"2004-12",-0.189783393156387,0.0400649848690471,0.0704627492468906,0.00748706270368901,0.00590016479227804,1026086928408.5,202.690012
"2005-01",-0.188057858182746,0.0898256428066542,0.00797106505348255,0.0968008852762128,0.0122459541743994,1024465179957.1,759.301417
"2005-02",-0.0108293837536607,-0.0706977115929439,-0.02893342281935,-0.0838738530805197,-0.0115738883531983,-1575447323782,324.978553
"2005-03",0.647452566243567,0.0584618301195261,0.0324503206200251,0.0302482973367422,0.0606931217855848,696963716092.301,-46.013477
"2005-04",0.460074049394301,-0.0777985305314116,-0.0535000911729424,-0.014444809707332,-0.00467140808046632,-233666477786.102,-187.16872
"2005-05",-0.587072848279911,0.0794569522398318,0.147587589907268,0.00691874958552001,0.0107715602902968,142964176243,-412.427707
"2005-06",1.33001153766299,-0.0363689029071707,-0.073209249307938,0.00620726404387552,-0.00441942384346467,62881145190,-283.679606
